AAA;NTGA;Anaa Airport;Anaa, Tuamotus, French Polynesia
ATS;KATS;Artesia Municipal Airport;Artesia, New Mexico, United States
ATT;;Atmautluak Airport (FAA: 4A2);Atmautluak, Alaska, United States
ATU;PAAT;Casco Cove Coast Guard Station;Attu Island, Alaska, United States
ATV;FTTI;Ati Airport;Ati, Chad
ATW;KATW;Appleton International Airport;Appleton, Wisconsin, United States
ATX;;Atbasar Airport;Atbasar, Kazakhstan
ATY;KATY;Watertown Regional Airport;Watertown, South Dakota, United States
ATZ;HEAT;Assiut Airport;Assiut, Egypt
AUA;TNCA;Queen Beatrix International Airport;Aruba, Aruba
AUC;SKUC;Santiago Perez Quiroz Airport;Arauca, Colombia
AUD;YAGD;Augustus Downs Airport;Augustus Downs, Queensland, Australia
AUE;;Abu Rudeis Airport;Abu Rudeis, Egypt
AUF;LFLA;Auxerre - Branches Aerodrome;Auxerre, Burgundy, France
AUG;KAUG;Augusta State Airport;Augusta, Maine, United States
AUH;OMAA;Abu Dhabi International Airport;Abu Dhabi, United Arab Emirates
AUI;AYND;Aua Island Airport;Aua Island, Papua New Guinea
AUJ;AYAT;Ambunti Airport;Ambunti, Papua New Guinea
AUK;;Alakanuk Airport;Alakanuk, Alaska, United States
AUL;;Aur Airport;Aur Atoll, Marshall Islands
AUM;KAUM;Austin Municipal Airport;Austin, Minnesota, United States
AUN;KAUN;Auburn Municipal Airport;Auburn, California, United States
AUO;KAUO;Auburn University Regional Airport;Auburn, Alabama, United States
AUP;AYAG;Agaun Airport;Agaun, Papua New Guinea
AUQ;NTMN;Atuona Airport;Atuona, Marquesas Islands, French Polynesia
AUR;LFLW;Aurillac - Tronquieres Airport;Aurillac, Auvergne, France
AUS;KAUS;Austin-Bergstrom International Airport;Austin, Texas, United States
AUT;WPAT;Atauro Airport;Atauro Island, East Timor
AUU;YAUR;Aurukun Airport;Aurukun, Queensland, Australia
AUV;AYUM;Aumo Airport;Aumo, Papua New Guinea
AUW;KAUW;Wausau Downtown Airport;Wausau, Wisconsin, United States
AUX;SWGN;Araguaina Airport;Araguaina, Tocantins, Brazil
AUY;NVVA;Anatom Airport;Anatom Island, Tafea, Vanuatu
AUZ;KARR;Aurora Municipal Airport (FAA: ARR);Aurora, Illinois, United States
AVA;ZUAS;Anshun Huangguoshu Airport;Anshun, Guizhou, China
AVB;LIPA;Aviano Air Base;Aviano, Pordenone, Italy
AVG;YAUV;Auvergne Airport;Auvergne Station, Northern Territory, Australia
AVI;MUCA;Maximo Gomez Airport;Ciego de avila, Cuba
AVK;ZMAH;Arvaikheer Airport;Arvaikheer, Mongolia
AVL;KAVL;Asheville Regional Airport;Asheville, North Carolina, United States
AVN;LFMV;Avignon - Provence Airport;Avignon, Provence-Alpes-Cote d'Azur, France
AVO;KAVO;Avon Park Executive Airport;Avon Park, Florida, United States
AVP;KAVP;Wilkes-Barre/Scranton International Airport;Wilkes-Barre / Scranton, Pennsylvania, United States
AVU;AGGJ;Avu Avu Airport;Avu Avu, Guadalcanal, Solomon Islands
AVV;YMAV;Avalon Airport;Avalon, Victoria, Australia
AVW;KAVQ;Marana Regional Airport (FAA: AVQ);Tucson, Arizona, United States
AVX;KAVX;Catalina Airport;Avalon, California, United States
AWA;HALA;Awasa Airport;Awasa, Ethiopia
AWB;AYAW;Awaba Airport;Awaba, Papua New Guinea
AWD;NVVB;Aniwa Airport;Aniwa Island, Tafea, Vanuatu
AWE;;Alowe Airport;Alowe, Gabon
AWK;PWAK;Wake Island Airfield;Wake Island, United States Minor Outlying Islands
AWM;KAWM;West Memphis Municipal Airport;West Memphis, Arkansas, United States
AWN;;Alton Downs Airport;Alton Downs, South Australia, Australia
AWP;;Austral Downs Airport;Austral Downs, Northern Territory, Australia
AWR;;Awar Airport;Awar, Papua New Guinea
AWZ;OIAW;Ahvaz International Airport;Ahvaz, Iran
AXA;TQPF;Clayton J. Lloyd International Airport;Anguilla, Anguilla
AXB;;Maxson Airfield (FAA: 89N);Alexandria Bay, New York, United States
AXC;YAMC;Aramac Airport;Aramac, Queensland, Australia
AXD;LGAL;Alexandroupoli Airport (Dimokritos Airport);Alexandroupoli, Greece
AXE;;Xanxere Airport;Xanxere, Santa Catarina, Brazil
AXF;;Alxa Left Banner Bayanhot Airport;Alxa Left Banner, Inner Mongolia, China
AXG;KAXA;Algona Municipal Airport (FAA: AXA);Algona, Iowa, United States
AXJ;RJDA;Amakusa Airfield;Amakusa, Amakusa Islands, Japan
AXK;OYAT;Ataq Airport;Ataq, Yemen
AXL;;Alexandria Airport;Alexandria Station, Northern Territory, Australia
AXM;SKAR;El Eden International Airport;Armenia, Colombia
AXN;KAXN;Alexandria Municipal Airport (Chandler Field);Alexandria, Minnesota, United States
AXP;MYAP;Spring Point Airport;Spring Point, Acklins Island, Bahamas
AXR;NTGU;Arutua Airport;Arutua, Tuamotus, French Polynesia
AXS;KAXS;Altus/Quartz Mountain Regional Airport;Altus, Oklahoma, United States
AXT;RJSK;Akita Airport;Akita, Honshu, Japan
AXU;HAAX;Axum Airport;Axum, Ethiopia
AXV;KAXV;Neil Armstrong Airport;Wapakoneta, Ohio, United States
AXX;KAXX;Angel Fire Airport;Angel Fire, New Mexico, United States
AYA;;Ayapel Airport;Ayapel, Colombia
AYC;;Ayacucho Airport;Ayacucho, Colombia
AYD;;Alroy Downs Airport;Alroy Downs, Northern Territory, Australia
AYG;SKYA;Yaguara Airport;Yaguara, Colombia
AYI;;Yari Airport;Yari, Colombia
AYK;UAUR;Arkalyk Airport;Arkalyk, Kazakhstan
AYL;;Anthony Lagoon Airport;Anthony Lagoon, Northern Territory, Australia
AYM;;Yas Island Seaplane Base;Yas Island, Abu Dhabi, United Arab Emirates
AYN;ZHAY;Anyang Airport;Anyang, Henan, China
AYO;SGAY;Juan de Ayolas Airport;Ayolas, Paraguay
AYP;SPHO;Coronel FAP Alfredo Mendivil Duarte Airport;Ayacucho, Peru
AYQ;YAYE;Ayers Rock Airport;Yulara, Northern Territory, Australia
AYR;YAYR;Ayr Airport;Ayr, Queensland, Australia
AYS;KAYS;Waycross-Ware County Airport;Waycross, Georgia, United States
AYT;LTAI;Antalya Airport;Antalya, Turkey
AYU;AYAY;Aiyura Airport;Aiyura, Papua New Guinea
AYW;;Ayawasi Airport;Ayawasi, Indonesia
AYY;;Arugam Bay Seaplane Base;Pottuvil, Sri Lanka
AYZ;;Zahn's Airport (closed 1980);Amityville, New York, United States
AZA;KIWA;Phoenix-Mesa Gateway Airport (FAA: IWA);Phoenix, Arizona, United States
AZB;;Amazon Bay Airport;Amazon Bay, Papua New Guinea
AZD;OIYY;Shahid Sadooghi Airport;Yazd, Iran
AZG;;Pablo L. Sidar Airport;Apatzingan, Michoacan, Mexico
AZI;OMAD;Al Bateen Executive Airport;Abu Dhabi, United Arab Emirates
AZL;SWTU;Fazenda Tucunare Airport;Sapezal, Mato Grosso, Brazil
AZN;UTKA;Andizhan Airport;Andizhan, Uzbekistan
AZO;KAZO;Kalamazoo/Battle Creek International Airport;Kalamazoo, Michigan, United States
AZP;MMJC;Jorge Jimenez Cantu National Airport;Ciudad Lopez Mateos, State of Mexico, Mexico
AZR;DAUA;Touat-Cheikh Sidi Mohamed Belkebir Airport;Adrar, Algeria
AZS;MDCY;Samana El Catey International Airport;El Catey, Dominican Republic
AZT;;Zapatoca Airport;Zapatoca, Colombia
AZZ;FNAM;Ambriz Airport;Ambriz, Angola
BAA;AYBL;Bialla Airport;Bialla, Papua New Guinea
BAB;KBAB;Beale Air Force Base;Marysville, California, United States
BAC;;Barranca de Upia Airport;Barranca de Upia, Colombia
BAD;KBAD;Barksdale Air Force Base;Bossier City, Louisiana, United States
BAE;LFMR;Barcelonnette - Saint-Pons Airport;Barcelonnette, Alpes-de-Haute-Provence, France
BAF;KBAF;Westfield-Barnes Regional Airport;Westfield / Springfield, Massachusetts, United States
BAG;RPUB;Loakan Airport;Baguio, Philippines
BAH;OBBI;Bahrain International Airport;Manama, Bahrain
BAI;MRBA;Buenos Aires Airport;Buenos Aires, Costa Rica
BAJ;;Bali Airport;Bali, Papua New Guinea
BAL;LTCJ;Batman Airport;Batman, Turkey
BAM;KBAM;Battle Mountain Airport (Lander County Airport);Battle Mountain, Nevada, United States
BAN;FZVR;Basongo Airport;Basongo, Democratic Republic of the Congo
BAP;;Baibara Airport;Baibara, Papua New Guinea
BAQ;SKBQ;Ernesto Cortissoz International Airport;Barranquilla, Colombia
BAS;AGGE;Balalae Airport;Balalae Island, Western, Solomon Islands
BAT;SBBT;Chafei Amsei Airport;Barretos, Sao Paulo, Brazil
BAV;ZBOW;Baotou Airport;Baotou, Inner Mongolia, China
BAW;;Biawonque Airport;Biawonque, Gabon
BAX;UNBB;Barnaul Airport;Barnaul, Altai Krai, Russia
BAY;LRBM;Baia Mare Airport;Baia Mare, Romania
BAZ;SWBC;Barcelos Airport;Barcelos, Amazonas, Brazil
BBA;SCBA;Balmaceda Airport;Balmaceda, Chile
BBB;KBBB;Benson Municipal Airport;Benson, Minnesota, United States
BBC;KBYY;Bay City Municipal Airport (FAA: BYY);Bay City, Texas, United States
BBD;KBBD;Curtis Field;Brady, Texas, United States
BBF;;Burlington Municipal Airport;Burlington, Massachusetts, United States
BBG;NGTU;Butaritari Atoll Airport;Butaritari Atoll, Kiribati
BBH;EDBH;Stralsund-Barth Airport;Stralsund / Barth, Mecklenburg-Vorpommern, Germany
BBI;VEBS;Biju Patnaik International Airport;Bhubaneswar, Odisha, India
BBJ;EDRB;Bitburg Airport (former Bitburg Air Base);Bitburg, Rhineland-Palatinate, Germany
BBK;FBKE;Kasane Airport;Kasane, Botswana
BBL;YLLE;Ballera Airport;Ballera, Queensland, Australia
BBM;VDBG;Battambang Airport;Battambang, Cambodia
BBN;WBGZ;Bario Airport;Bario, Sarawak, Malaysia
BBO;HCMI;Berbera Airport;Berbera, Somalia
BBP;EGHJ;Bembridge Airport;Bembridge, England, United Kingdom
BBQ;TAPH;Barbuda Codrington Airport;Barbuda, Antigua and Barbuda
BBR;TFFB;Baillif Airport;Basse-Terre, Guadeloupe
BBS;EGLK;Blackbushe Airport;Yateley, England, United Kingdom
BBT;FEFT;Berberati Airport;Berberati, Central African Republic
BBU;LRBS;Aurel Vlaicu International Airport (B?neasa Airport);Bucharest, Romania
BBV;DIGN;Nero-Mer Airport;Grand-Bereby, Ivory Coast
BBW;KBBW;Broken Bow Municipal Airport;Broken Bow, Nebraska, United States
BBX;KLOM;Wings Field (FAA: LOM);Blue Bell, Pennsylvania, United States
BBY;FEFM;Bambari Airport;Bambari, Central African Republic
BBZ;FLZB;Zambezi Airport;Zambezi, Zambia
BCA;MUBA;Gustavo Rizo Airport;Baracoa, Cuba
BCB;KBCB;Virginia Tech Montgomery Executive Airport;Blacksburg, Virginia, United States
BCC;;Bear Creek 3 Airport (FAA: Z48);Bear Creek, Alaska, United States
BCD;RPVB;Bacolod-Silay International Airport;Bacolod, Philippines
BCE;KBCE;Bryce Canyon Airport;Bryce Canyon, Utah, United States
BCF;FEGU;Bouca Airport;Bouca, Central African Republic
BCG;;Bemichi Airport;Kumaka, Guyana
BCH;WPEC;Baucau Airport;Baucau, East Timor
BCI;YBAR;Barcaldine Airport;Barcaldine, Queensland, Australia
BCK;;Bolwarra Airport;Bolwarra, Queensland, Australia
BCL;MRBC;Barra del Colorado Airport;Barra del Colorado, Costa Rica
BCM;LRBC;Bac?u International Airport;Bac?u, Romania
BCN;LEBL;Barcelona-El Prat Airport;Barcelona, Catalonia, Spain
BCO;HABC;Baco Airport (Jinka Airport);Jinka, Ethiopia
BCP;AYBC;Bambu Airport;Bambu, Papua New Guinea
BCQ;;Brak Airport;Brak, Libya
BCR;SWNK;Novo Campo Airport;Boca do Acre, Amazonas, Brazil
BCS;;Southern Seaplane Airport (FAA: 65LA);Belle Chasse, Louisiana, United States
BCT;KBCT;Boca Raton Airport;Boca Raton, Florida, United States
BCU;;Bauchi Airport;Bauchi, Nigeria
BCV;;Hector Silva Airstrip;Belmopan, Belize
BCW;;Benguerra Island Airport;Benguerra Island, Mozambique
BCX;UWUB;Beloretsk Airport;Beloretsk, Republic of Bashkortostan, Russia
BCY;HABU;Bulchi Airport;Bulchi, Ethiopia
BCZ;;Bickerton Island Airport;Bickerton Island, Northern Territory, Australia
BDA;TXKF;L.F. Wade International Airport;Hamilton, Bermuda
BDB;YBUD;Bundaberg Airport;Bundaberg, Queensland, Australia
BDC;SNBC;Barra do Corda Airport;Barra do Corda, Maranhao, Brazil
BDD;YBAU;Badu Island Airport;Badu Island, Queensland, Australia
BDE;KBDE;Baudette International Airport;Baudette, Minnesota, United States
BDF;;Rinkenberger RLA Airport (FAA: 3IS8);Bradford, Illinois, United States
BDG;KBDG;Blanding Municipal Airport;Blanding, Utah, United States
BDH;OIBL;Bandar Lengeh Airport;Bandar Lengeh, Iran
BDI;FSSB;Bird Island Airport;Bird Island, Seychelles
BDJ;WRBB;Syamsudin Noor Airport;Banjarmasin, Indonesia
BDK;DIBU;Soko Airport;Bondoukou, Ivory Coast
BDL;KBDL;Bradley International Airport;Windsor Locks / Hartford, Connecticut, United States
BDM;LTBG;Band?rma Airport;Band?rma, Turkey
BDN;OPTH;Talhar Airport;Badin, Pakistan
BDO;WICC;Husein Sastranegara International Airport;Bandung, Indonesia
BDP;VNCG;Bhadrapur Airport (Chandragadhi Airport);Bhadrapur / Chandragadhi, Nepal
BDQ;VABO;Vadodara Airport (Civil Airport Harni);Vadodara, Gujarat, India
BDR;KBDR;Igor I. Sikorsky Memorial Airport;Bridgeport, Connecticut, United States
BDS;LIBR;Brindisi - Salento Airport;Brindisi, Apulia, Italy
BDT;FZFD;Gbadolite Airport;Gbadolite, Democratic Republic of the Congo
BDU;ENDU;Bardufoss Airport;Bardufoss, Norway
BDV;FZRB;Moba Airport;Moba, Democratic Republic of the Congo
BDW;YBDF;Bedford Downs Airport;Bedford Downs, Western Australia, Australia
BDX;;Broadus Airport;Broadus, Montana, United States
BDY;;Bandon State Airport (FAA: S05);Bandon, Oregon, United States
BDZ;AYBG;Baindoung Airport;Baindoung, Papua New Guinea
BEA;;Bereina Airport;Bereina, Papua New Guinea
BEB;EGPL;Benbecula Airport;Benbecula, Scotland, United Kingdom
BEC;KBEC;Beech Factory Airport;Wichita, Kansas, United States
BED;KBED;Laurence G. Hanscom Field;Bedford, Massachusetts, United States
BEE;;Beagle Bay Airport;Beagle Bay, Western Australia, Australia
BEF;MNBL;Bluefields Airport;Bluefields, Nicaragua
BEG;LYBE;Belgrade Nikola Tesla Airport;Belgrade, Serbia
BEH;KBEH;Southwest Michigan Regional Airport;Benton Harbor, Michigan, United States
BEI;HABE;Beica Airport;Beica, Ethiopia
BEJ;WALK;Kalimarau Airport;Tanjung Redeb, Indonesia
BEK;VIBY;Bareilly Airport;Bareilly, Uttar Pradesh, India
BEL;SBBE;Val de Cans International Airport;Belem, Para, Brazil
BEM;GMMD;Beni Mellal Airport;Beni Mellal, Morocco
BEN;HLLB;Benina International Airport;Benghazi, Libya
BEO;YPEC;Belmont Airport;Newcastle, New South Wales, Australia
BEP;VOBI;Bellary Airport;Bellary, Karnataka, India
BEQ;EGXH;RAF Honington;Bury St Edmunds, England, United Kingdom
BER;EDDB;Berlin Brandenburg Airport (in construction);Berlin, Germany
BES;LFRB;Brest Bretagne Airport;Brest, Brittany, France
BET;PABE;Bethel Airport;Bethel, Alaska, United States
BEU;YBIE;Bedourie Airport;Bedourie, Queensland, Australia
BEV;LLBS;Beersheba Airport;Beersheba, Israel
BEW;FQBR;Beira Airport;Beira, Mozambique
BEX;EGUB;RAF Benson;Benson, England, United Kingdom
BEY;OLBA;Beirut-Rafic Hariri International Airport / Beirut Air Base;Beirut, Lebanon
BEZ;NGBR;Beru Island Airport;Beru Island, Kiribati
BFA;SGAS;Bahia Negra Airport;Bahia Negra, Paraguay
BFC;;Bloomfield Airport;Bloomfield, Queensland, Australia
BFD;KBFD;Bradford Regional Airport;Bradford, Pennsylvania, United States
BFE;EDLI;Bielefeld Airport;Bielefeld, North Rhine-Westphalia, Germany
BFF;KBFF;Western Nebraska Regional Airport (William B. Heilig Field);Scottsbluff, Nebraska, United States
BFG;;Bullfrog Basin Airport (FAA: U07);Glen Canyon, Utah, United States
BFH;SBBI;Bacacheri Airport;Curitiba, Parana, Brazil
BFI;KBFI;Boeing Field/King County International Airport;Seattle, Washington, United States
BFJ;ZUBJ;Bijie Feixiong Airport;Bijie, Guizhou, China
BFK;KBKF;Buckley Air Force Base;Aurora, Colorado, United States
BFL;KBFL;Meadows Field Airport;Bakersfield, California, United States
BFM;KBFM;Mobile Downtown Airport;Mobile, Alabama, United States
BFN;FABL;Bloemfontein Airport;Bloemfontein, South Africa
BFO;FVCZ;Buffalo Range Airport;Chiredzi, Zimbabwe
BFP;KBVI;Beaver County Airport (FAA: BVI);Beaver Falls, Pennsylvania, United States
BFQ;;Bahia Pina Airport;Puerto Pina, Panama
BFR;KBFR;Virgil I. Grissom Municipal Airport;Bedford, Indiana, United States
BFS;EGAA;Belfast International Airport;Belfast, Northern Ireland, United Kingdom
BFT;KARW;Beaufort County Airport (FAA: ARW);Beaufort County, South Carolina, United States
BFU;ZSBB;Bengbu Airport;Bengbu, Anhui, China
BFV;VTUO;Buriram Airport;Buriram, Thailand
BFW;DAOS;Sidi Bel Abbes Airport;Sidi Bel Abbes, Algeria
BFX;FKKU;Bafoussam Airport;Bafoussam, Cameroon
BGA;SKBG;Palonegro International Airport;Bucaramanga, Colombia
BGB;FOGB;Booue Airport;Booue, Gabon
BGC;LPBG;Braganca Airport;Braganca, Portugal
BGD;KBGD;Hutchinson County Airport;Borger, Texas, United States
BGE;KBGE;Decatur County Industrial Air Park;Bainbridge, Georgia, United States
BGF;FEFF;Bangui M'Poko International Airport;Bangui, Central African Republic
BGG;LTCU;Bingol Airport;Bingol, Turkey
BGH;GQNE;Abbaye Airport;Bogue, Mauritania
BGI;TBPB;Grantley Adams International Airport;Bridgetown, Barbados
BGJ;BIBF;Borgarfjoraur Airport;Borgarfjoraur, Iceland
BGK;;Big Creek Airport;Big Creek, Belize
BGL;VNBL;Balewa Airport;Baglung, Nepal
BGM;KBGM;Greater Binghamton Airport (Edwin A. Link Field);Binghamton, New York, United States
BGN;UESG;Belaya Gora Airport;Belaya Gora, Yakutia, Russia
BGO;ENBR;Bergen Airport, Flesland;Bergen, Norway
BGP;;Bongo Airport;Bongo, Gabon
BGQ;PAGQ;Big Lake Airport;Big Lake, Alaska, United States
BGR;KBGR;Bangor International Airport;Bangor, Maine, United States
BGT;;Bagdad Airport (FAA: E51);Bagdad, Arizona, United States
BGU;FEFG;Bangassou Airport;Bangassou, Central African Republic
BGV;;Bento Goncalves Airport;Bento Goncalves, Rio Grande do Sul, Brazil
BGW;ORBI;Baghdad International Airport;Baghdad, Iraq
BGX;SBBG;Comandante Gustavo Kraemer Airport;Bage, Rio Grande do Sul, Brazil
BGY;LIME;Il Caravaggio International Airport (Orio al Serio Airport);Milan / Bergamo, Lombardy, Italy
BGZ;LPBR;Braga Airport;Braga, Portugal
BHA;SESV;Los Perales Airport;Bahia de Caraquez, Ecuador
BHB;KBHB;Hancock County-Bar Harbor Airport;Bar Harbor, Maine, United States
BHD;EGAC;George Best Belfast City Airport;Belfast, Northern Ireland, United Kingdom
BHE;NZWB;Woodbourne Airport;Blenheim, New Zealand
BHF;SKCP;Bahia Cupica Airport;Bahia Cupica, Colombia
BHG;;Brus Laguna Airport;Brus Laguna, Honduras
BHH;OEBH;Bisha Domestic Airport;Bisha, Saudi Arabia
BHI;SAZB;Comandante Espora Airport;Bahia Blanca, Buenos Aires, Argentina
BHJ;VABJ;Bhuj Airport / Bhuj Rudra Mata Air Force Base;Bhuj, Gujarat, India
BHK;UTSB;Bukhara International Airport;Bukhara, Uzbekistan
BHL;;Bahia de los angeles Airport;Bahia de los angeles, Baja California, Mexico
BHM;KBHM;Birmingham-Shuttlesworth International Airport;Birmingham, Alabama, United States
BHN;OYBN;Beihan Airport;Beihan, Yemen
BHO;VABP;Raja Bhoj Airport;Bhopal, Madhya Pradesh, India
BHP;VNBJ;Bhojpur Airport;Bhojpur, Nepal
BHQ;YBHI;Broken Hill Airport;Broken Hill, New South Wales, Australia
BHR;VNBP;Bharatpur Airport;Bharatpur, Nepal
BHS;YBTH;Bathurst Airport;Bathurst, New South Wales, Australia
BHT;;Brighton Downs Airport;Brighton Downs, Queensland, Australia
BHU;VABV;Bhavnagar Airport;Bhavnagar, Gujarat, India
BHV;OPBW;Bahawalpur Airport;Bahawalpur, Pakistan
BHW;;Bhagatanwala Airport;Sargodha, Pakistan
BHX;EGBB;Birmingham Airport;Birmingham, England, United Kingdom
BHY;ZGBH;Beihai Fucheng Airport;Beihai, Guangxi, China
BIA;LFKB;Bastia - Poretta Airport;Bastia, Corsica, France
BIB;HCMB;Baidoa Airport;Baidoa, Somalia
BID;KBID;Block Island State Airport;Block Island, Rhode Island, United States
BIE;KBIE;Beatrice Municipal Airport;Beatrice, Nebraska, United States
BIF;KBIF;Biggs Army Airfield;El Paso, Texas, United States
BIG;PABI;Allen Army Airfield;Delta Junction, Alaska, United States
BIH;KBIH;Eastern Sierra Regional Airport;Bishop, California, United States
BII;;Bikini Atoll Airport;Bikini Atoll, Marshall Islands
BIJ;;Biliau Airport;Biliau, Papua New Guinea
BIK;WABB;Frans Kaisiepo Airport;Biak, Indonesia
BIL;KBIL;Billings Logan International Airport;Billings, Montana, United States
BIM;MYBS;South Bimini Airport;Bimini, Bahamas
BIN;OABN;Bamyan Airport;Bamyan, Afghanistan
BIO;LEBB;Bilbao Airport;Bilbao, Basque Country, Spain
BIP;;Bulimba Airport;Bulimba, Queensland, Australia
BIQ;LFBZ;Biarritz Pays Basque Airport;Biarritz, Aquitaine, France
BIR;VNVT;Biratnagar Airport;Biratnagar, Nepal
BIS;KBIS;Bismarck Municipal Airport;Bismarck, North Dakota, United States
BIT;VNBT;Baitadi Airport;Baitadi, Nepal
BIU;BIBD;Bildudalur Airport;Bildudalur, Iceland
BIV;FEFR;Bria Airport;Bria, Central African Republic
BIW;;Billiluna Airport;Billiluna, Western Australia, Australia
BIX;KBIX;Keesler Air Force Base;Biloxi, Mississippi, United States
BIY;FABE;Bhisho Airport;Bhisho, South Africa
BIZ;;Bimin Airport;Bimin, Papua New Guinea
BJA;DAAE;Soummam - Abane Ramdane Airport;Bejaia, Algeria
BJB;OIMN;Bojnord Airport;Bojnord, Iran
BJC;KBJC;Rocky Mountain Metropolitan Airport;Denver, Colorado, United States
BJD;BIBK;Bakkafjoraur Airport;Bakkafjoraur, Iceland
BJE;;Baleela Airport;Baleela, Sudan
BJF;ENBS;BAtsfjord Airport;BAtsfjord, Norway
BJG;;Kotamobagu Mopait Airport;Kotamobagu, Indonesia
BJH;VNBG;Bajhang Airport;Bajhang, Nepal
BJI;KBJI;Bemidji Regional Airport;Bemidji, Minnesota, United States
BJJ;KBJJ;Wayne County Airport;Wooster, Ohio, United States
BJK;WAPK;Benjina Airport (Nangasuri Airport);Benjina, Indonesia
BJL;GBYD;Banjul International Airport;Banjul, Gambia
BJM;HBBA;Bujumbura International Airport;Bujumbura, Burundi
BJN;;Bajone Airport;Bajone, Mozambique
BJO;SLBJ;Bermejo Airport;Bermejo, Bolivia
BJP;SBBP;Arthur Siqueira-Braganca Paulista State Airport;Braganca Paulista, Sao Paulo, Brazil
BJQ;;Bahja Airport;Bahja, Oman
BJR;HABD;Bahir Dar Airport;Bahir Dar, Ethiopia
BJS;;All airports;Beijing, China
BJT;;Bentota River Airport;Bentota, Sri Lanka
BJU;VNBR;Bajura Airport;Bajura, Nepal
BJV;LTFE;Milas-Bodrum Airport;Milas / Bodrum, Turkey
BJW;WRKB;Bajawa Soa Airport;Bajawa, Indonesia
BJX;MMLO;Del Bajio International Airport (Guanajuato Int'l Airport);Leon, Guanajuato, Mexico
BJY;LYBT;Batajnica Air Base;Batajnica, Serbia
BJZ;LEBZ;Badajoz Airport (Talavera la Real Air Base);Badajoz, Extremadura, Spain
